candidate_id,display_label,asset,report_exists,evaluations_exists,runtime_errors,total_trades,net_pnl,rating,quality_status,trusted_for_promotion,primary_reason
MR_DEEP_VALUE_V1,OLD_MR_DEEP,GDX,True,True,145,0,0.0,INSUFFICIENT_SAMPLE,CHECK,False,Runtime errors exist for this candidate.
MR_DEEP_VALUE_V1,OLD_MR_DEEP,GLD,True,True,145,0,0.0,INSUFFICIENT_SAMPLE,CHECK,False,Runtime errors exist for this candidate.
MR_DEEP_VALUE_V1,OLD_MR_DEEP,GOLD,True,True,145,0,0.0,INSUFFICIENT_SAMPLE,CHECK,False,Runtime errors exist for this candidate.
MR_DEEP_VALUE_V1,OLD_MR_DEEP,GOLD_FUT,True,True,145,2,-165.43,INSUFFICIENT_SAMPLE,CHECK,False,Runtime errors exist for this candidate.
MR_DEEP_VALUE_V1,OLD_MR_DEEP,MARA,True,True,145,0,0.0,INSUFFICIENT_SAMPLE,CHECK,False,Runtime errors exist for this candidate.
MR_DEEP_VALUE_V1,OLD_MR_DEEP,MSTR,True,True,145,0,0.0,INSUFFICIENT_SAMPLE,CHECK,False,Runtime errors exist for this candidate.
MR_DEEP_VALUE_V1,OLD_MR_DEEP,NEM,True,True,145,0,0.0,INSUFFICIENT_SAMPLE,CHECK,False,Runtime errors exist for this candidate.
MR_DEEP_VALUE_V1,OLD_MR_DEEP,NVDA,True,True,145,0,0.0,INSUFFICIENT_SAMPLE,CHECK,False,Runtime errors exist for this candidate.
MR_DEEP_VALUE_V1,OLD_MR_DEEP,OIL,True,True,145,0,0.0,INSUFFICIENT_SAMPLE,CHECK,False,Runtime errors exist for this candidate.
MR_DEEP_VALUE_V1,OLD_MR_DEEP,OIL_FUT,True,True,145,0,0.0,INSUFFICIENT_SAMPLE,CHECK,False,Runtime errors exist for this candidate.
MR_DEEP_VALUE_V1,OLD_MR_DEEP,PAXG,True,True,145,1,-69.88,INSUFFICIENT_SAMPLE,CHECK,False,Runtime errors exist for this candidate.
MR_DEEP_VALUE_V1,OLD_MR_DEEP,QQQ,True,True,145,0,0.0,INSUFFICIENT_SAMPLE,CHECK,False,Runtime errors exist for this candidate.
MR_DEEP_VALUE_V1,OLD_MR_DEEP,RIOT,True,True,145,0,0.0,INSUFFICIENT_SAMPLE,CHECK,False,Runtime errors exist for this candidate.
MR_DEEP_VALUE_V1,OLD_MR_DEEP,SILVER,True,True,145,0,0.0,INSUFFICIENT_SAMPLE,CHECK,False,Runtime errors exist for this candidate.
MR_DEEP_VALUE_V1,OLD_MR_DEEP,SILVER_FUT,True,True,145,1,-118.95,INSUFFICIENT_SAMPLE,CHECK,False,Runtime errors exist for this candidate.
MR_DEEP_VALUE_V1,OLD_MR_DEEP,SOL,True,True,145,0,0.0,INSUFFICIENT_SAMPLE,CHECK,False,Runtime errors exist for this candidate.
MR_DEEP_VALUE_V1,OLD_MR_DEEP,SPY,True,True,145,0,0.0,INSUFFICIENT_SAMPLE,CHECK,False,Runtime errors exist for this candidate.
MR_DEEP_VALUE_V1,OLD_MR_DEEP,USDCAD,True,True,145,1,-33.7,INSUFFICIENT_SAMPLE,CHECK,False,Runtime errors exist for this candidate.
MR_DEEP_VALUE_V1,OLD_MR_DEEP,USDCHF,True,True,145,0,0.0,INSUFFICIENT_SAMPLE,CHECK,False,Runtime errors exist for this candidate.
MR_DEEP_VALUE_V1,OLD_MR_DEEP,USDJPY,True,True,145,0,0.0,INSUFFICIENT_SAMPLE,CHECK,False,Runtime errors exist for this candidate.
MR_DEEP_VALUE_V1,OLD_MR_DEEP,XRP,True,True,145,1,-98.61,INSUFFICIENT_SAMPLE,CHECK,False,Runtime errors exist for this candidate.
